%	percent
不可救药	incorrigible
不可救药	hopeless
不可数	uncountable
不可枚举	innumerable
不可理喻	unreasonable
不可磨灭	indelible
不可端倪	unfathomable
不可缺少	indispensable
不可置信	unbelievable
不可置信	incredible
不可能	impossible
不可能	cannot
不可解	insoluble
不可言喻	inexpressible
不可逆	irreversible
不可逆转	irreversible
不可通约	incommensurable
不可通约	incommensurate
不可逾越	impassable
不可逾越	insurmountable
不可逾越	insuperable
不可避	unavoidable
不可避免	unavoidably
不可靠	unreliable
不合作	noncooperation
不合时宜	untimely
不合时宜	premature
不合时宜	inopportune
不合时宜	ill-timed
不合法	illegal
不合理	unreasonable
不合体统	scandalous
不吉	unlucky
不吉	inauspicious
不吉	ominous
不吉利	ominous
不同	different
不同	distinct
不同凡响	brilliant
不名一文	penniless
不名一文	stony-broke
不名誉	disreputable
不名誉	disgraceful
不吐气	unaspirated
不含糊	unambiguous
不含糊	unequivocal
不含糊	explicit
不含糊	prudent
不含糊	cautious
不含糊	unafraid
不含糊	unhesitating
不含糊	extraordinary
不周	thoughtless
不周	inconsiderate
不周延	undistributed
不和	discord
不啻	like
不善	bad
不善	ill
不圆通	inflexible
不圆通	unaccommodating
不均	uneven
不堪	utterly
不堪	extremely
不堪忍受	unbearable
不堪设想	unthinkable
不堪设想	inconceivable
不够	insufficient
不够	inadequate
不好受	unpleasant
不如人意	unsatisfactory
不如人意	undesirable
不妥	inappropriate
不妥协	uncompromising
不孕	infertility
不孚众望	unpopular
不孝	unfilial
不安	unpeaceful
不安	unstable
不安	uneasy
不安	disturbed
不安	restless
不安	worried
不安分	restless
不安分	unsettled
不完善	imperfect
不完美	defective
不完美	imperfect
不定	indefinite
不定	indeterminate
不定	adventitious
不定式	infinitive
不定期	non-scheduled
不定期	irregularly
不定词	infinitive
不宜	inadvisable
不宜	inappropriate
不客气	impolite
不客气	rude
不客气	blunt
不容	cannot
不容置疑	unquestionable
不容置辩	peremptory
不寒而栗	shudder
不对	incorrect
不对	wrong
不对	amiss
不对	abnormal
不对	queer
不对劲	wrong
不对劲	fishy
不对盘	objectionable
不对称	unsymmetrical
不对称	asymmetric
不对头	fishy
不对头	amiss
不少	many
不屈	unyielding
不屈	unbending
不屈不挠	unyielding
不屈不挠	indomitable
不巧	unfortunately
不差	OK
不已	endlessly
不已	incessantly
不带	without
不带	un-
不带电	uncharged
不干涉	noninterference
不干涉	nonintervention
不平	uneven
不平	injustice
不平	unfairness
不平	wrong
不平	grievance
不平	indignant
不平	dissatisfied
不平凡	marvelous
不平凡	marvelously
不平常	remarkable
不平常	remarkably
不平常	unusual
不平等	inequality
不平等	unfairness
不平衡	disequilibrium
不幸	misfortune
不幸	adversity
不幸	unfortunate
不幸	sad
不幸	unfortunately
不幸之事	mishap
不得	cannot
不得了	disastrous
不得了	extremely
不得了	exceedingly
不得劲	awkward
不得劲	unhandy
不得已	must
不得而知	unknown
不必要	needless
不必要	unnecessary
不忍	disturbed
不快	unhappy
不忿	unsatisfied
不忿	unconvinced
不忿	indignant
不怕	fearless
不怠	untiring
不怠	indefatigable
不恭	disrespectful
不息	continually
不息	ceaselessly
不悦	displeased
不悦	annoyed
不情愿	unwilling
不想	unexpectedly
不愉快	disagreeable
不愉快	unpleasant
不意	unexpectedly
不意	unawareness
不意	unpreparedness
不慎	incautious
不慎	inattentive
不懈	untiring
不懈	unremitting
不懈	indefatigable
不懈怠	untiring
不成文	unwritten
不成材	worthless
不成材	good-for-nothing
不成样子	shapeless
不成样子	deformed
不成样子	ruined
不成熟	unripe
不成熟	immature
不才	untalented
不才	I
不才	me
不打紧	unimportant
不折不扣	out-and-out
不拉几	extremely
不拘	whatever
不振	depressed
不插电	unplugged
不择手段	unscrupulously
不敬	disrespect
不敬	irreverent
不敬	rude
不料	unexpectedly
不新鲜	stale
不断	unceasing
不断	uninterrupted
不断	continuous
不断	constant
不方便	inconvenience
不方便	inconvenient
不明	unknown
不明不白	obscure
不明不白	dubious
不明不白	shady
不明确	indefinite
不明确	unclear
不易	difficult
不易	unchanging
不是	fault
不是	blame
不是	no
不是	not
不是味儿	fishy
不是味儿	queer
不是味儿	amiss
不是东西	no-good
不时	occasionally
不时	frequently
不景气	slack
不智	unwise
不会	improbable
不会	unlikely
不期	unexpectedly
不朽	immortal
不朽	immortality
不材	untalented
不材	I
不材	me
不标准	nonstandard
不止	incessantly
不正常	abnormal
不正当	dishonest
不正当	unfair
不正当	improper
不正确	incorrect
不正确	erroneous
不死心	unresigned
不比	unlike
不毛	barren
不毛之地	desert
不求人	backscratcher
不求甚解	superficial
不法	lawless
不法	illegal
不法	unlawful
不法分子	lawbreakers
不法分子	offenders
不注意	thoughtless
不消	needless
不清	unclear
不清楚	unclear
不渝	constant
不渝	unchanging
不渝	abiding
不渝	faithful
不测	unexpected
不测	measureless
不测	contingency
不测	mishap
不凑巧	unluckily
不准确	imprecise
不溶	insoluble
不满	resentful
不满	discontented
不满	dissatisfied
不满意	dissatisfied
不为人知	secret
不为人知	unknown
不然	no
不然	otherwise
不争	incontestable
不争	undeniable
不爽	accurate
不甘	unwilling
不畏	unafraid
不当	unsuitable
不当	improper
不当	inappropriate
不当事	useless
不痛不痒	superficial
不痛不痒	perfunctory
不登大雅之堂	coarse
不登大雅之堂	unrefined
不尽	endlessly
不尽根	surd
不相容	incompatible
不省人事	unconscious
不知	unaware
不知	unknowingly
不知不觉	unconsciously
不知不觉	unwittingly
不知何故	somehow
不知就里	naive
不知就里	unwitting
不知疲倦	untiring
不知痛痒	numb
不知痛痒	unfeeling
不知痛痒	indifferent
不知痛痒	inconsequential
不知羞耻	brazen
不知轻重	naive
不确实	untrue
不祥	ominous
不祥	inauspicious
不移	steadfast
不移	inalienable
不稂不莠	useless
不稂不莠	worthless
不稂不莠	good-for-nothing
不稳	unstable
不稳	unsteady
不稳定	unstable
不稳定气流	turbulent
不稳性	instability
不穷	endless
不穷	boundless
不穷	inexhaustible
不端	improper
不端	dishonorable
不符	inconsistent
不等	unequal
不等	varied
不等式	inequality
不简单	remarkable
不简单	marvelous
不结果	fruitless
不结盟	nonalignment
不绝	unending
不绝	uninterrupted
不给力	lame
不经意	carelessly
不经意间	unconsciously
不经意间	inadvertently
不置可否	hedge
不羁	unruly
不羁	uninhibited
不义	injustice
不耐烦	impatience
不耐烦	impatient
不闻不问	uncritical
不声不响	taciturn
不肖	degenerate
不肖	unworthy
不育性	sterility
不育症	sterility
不育症	barrenness
不能	cannot
不能抵抗	irresistible
不自在	uneasiness
不自然	unnatural
不自然	artificial
不自觉	unaware
不兴	outmoded
不兴	impermissible
不兴	can't
不舒服	unwell
不舒服	uneasy
不舒适	uncomfortable
不良	bad
不良	harmful
不良	unhealthy
不苟	careful
不苟	conscientious
不若	inferior
不菲	considerable
不菲	bountiful
不菲	high
不莱梅	Bremen
不落俗套	unconventional
不落俗套	offbeat
不落痕迹	seamless
不落痕迹	professional
不着痕迹	seamlessly
不着痕迹	unobtrusively
不着边际	irrelevant
不虞	unexpected
不虞	eventuality
不虞	contingency
不行了	dying
不衰	unfailing
不衰	enduring
不衰	unstoppable
不要	don't!
不要紧	unimportant
不要脸	shameless
不见经传	unfounded
不规则	irregular
不规则四边形	trapezium
不规范	abnormal
不规范	irregular
不觉	unconsciously
不解	indissoluble
不解风情	unromantic
不解风情	insensitive
不触目	unobtrusive
不计其数	innumerable
不许	can't
不诚实	dishonest
不说自明	self-explanatory
不说自明	self-evident
不调和	discord
不请自来	unsolicited
不论	whatever
不谙世故	unworldly
不谙世故	unsophisticated
不谓	unexpectedly
不识好歹	undiscriminating
不识字	illiterate
不变	constant
不变	unvarying
不变	invariant
不变化	invariably
不变量	invariant
不象话	unreasonable
不象话	shocking
不象话	outrageous
不赀	immeasurable
不赀	incalculable
不费吹灰之力	effortless
不赖	good
不赖	fine
不赞成	disapproval
不起眼	unremarkable
不足	insufficient
不足	lacking
不足	deficiency
不足	inadequate
不足	cannot
不足月	premature
不足道	inconsiderable
不轨	errant
不辍	incessant
不辍	relentless
不近人情	unreasonable
不迭	incessantly
不送气	unaspirated
不透明	opaque
不透气	airtight
不透水	waterproof
不透水	watertight
不透水	impermeable
不逞之徒	desperado
不速	uninvited
不速	unexpected
不连续	discontinuous
不连续	discrete
不过	only
不过	merely
不过	but
不过	however
不过	anyway
不道德	immoral
不逊	rude
不逊	impertinent
不适	unwell
不适	indisposed
不适当	inadequate
不适当	unfit
不错	correct
不错	right
不长进	backward
不关痛痒	unimportant
不随意	unconscious
不随意	involuntary
不雅	graceless
不雅	vulgar
不雅	indecent
不雅观	unbecoming
不雅观	unsightly
不雅观	ungainly
不韪	fault
不韪	error
不顺	unfavorable
不顺	adverse
不愿	unwilling
不愿	unwillingness
不顾一切	reckless
不饱和	unsaturated
不首先使用	NFU
不体面	shameful
丐	beggar
丑	clown
丑角	clown
丑角	buffoon
且	and
且	moreover
且	yet
且	both
且休	stop
且说	thus
丕	grand
世	life
世	age
世	generation
世	era
世	world
世	lifetime
世	epoch
世	descendant
世	noble
世人	people
世人	everyone
世仇	feud
世代	generation
世代	era
世代	age
世伯	uncle
世俗	profane
世俗	secular
世俗	worldly
世故	sophisticated
世故	worldly-wise
世爵	Spyker
世界	world
世界各地	everywhere
世界级	world-class
世界观	worldview
世界观	Weltanschauung
世界语	Esperanto
世系	lineage
世系	genealogy
世纪	century
世袭	succession
世袭	inheritance
世袭	hereditary
世贸组织	WTO
世间	world
世间	earth
世隔绝	disconnected
丘	mound
丘	hillock
丘	grave
丘八	soldier
丘尔金	Churkin
丘疹	pimple
丘脑	thalamus
丘陵	hills
丙	propyl
丙三醇	glycerine
丙型	gamma-
丙烯腈	acrylo-nitrile
丙烷	propane
丙环唑	propiconazole
丙醇	propanol
丙醛	propionaldehyde
丞	deputy
丢三落四	forgetful
丢三落四	empty-headed
丢失	lost
丢脸	humiliation
并	and
并	furthermore
并	also
并	simultaneously
并且	and
并且	besides
并且	moreover
并且	furthermore
并排	abreast
并条	drawing
并激	shunt-wound
并肩	alongside
并肩	abreast
丫	fork
丫	branch
丫	bifurcation
丫	girl
丫巴儿	fork
丫巴儿	bifurcation
丫挺	bastard
丫挺	damned
丫杈	fork
丫环	maid
丫头	girl
丫髻	bun
丫髻	topknot
丫鬟	maid
中	China
中	Chinese
中	within
中	among
中	in
中	middle
中	center
中	while
中	during
中	OK
中世纪	medieval
中人	go-between
中人	mediator
中人	intermediary
中介	intermediate
中介	inter-
中介	agency
中介	agent
中介所	agency
中介资料	metadata
中位数	median
中低端	mid-to-low-range
中俄	China-Russia
中保	advocate
中午	noon
中午	midday
中南半岛	Indochina
中印	China-India
中印半岛	Indochina
中古	Sino-Cuban
中古	China-Cuba
中古	medieval
中古	Middle
中古	used
中古	second-hand
中向性格	ambiversion
中向性格	ambiverted
中和	neutralization
中和剂	neutralizer
中国籍	Chinese
中国	China
中国中心主义	Sinocentrism
中国人民政治协商会议	CPPCC
中国国际信托投资公司	CITIC
中国国际广播电台	CRI
中国城	Chinatown
中国海洋石油总公司	CNOOC
中国产	home-grown
中国红	vermilion
中土	Sino-Turkish
中坚	core
中坚	nucleus
中坚	backbone
中场	midfield
中场	mid-court
中场	half-time
中外	Sino-foreign
中外	Chinese-foreign
中天	culmination
中央	central
中央	middle
中央	center
中子	neutron
中尉	lieutenant
中尉	subaltern
中尼	China-Nepal
中层	middle-ranking
中山	Nakayama
中川	Nakagawa
中巴	China-Pakistan
中巴	China-Bahamas
中巴	minibus
中巴士	minibus
中常	ordinary
中常	average
中常	medium
中常	mid-range
中常	moderate
中帮	mid-top
中庭	courtyard
中庸	mediocre
中庸	ordinary
中厅	lobby
中厅	foyer
中式英语	Chinglish
中弹	shot
中径	diameter
中微子	neutrino
中心	center
中心	heart
中心	core
中心粒	centriole
中心点	center
中心点	focus
中性	neutral
中性粒细胞	neutrophil
中意	Sino-Italian
中提琴	viola
中新世	Miocene
中新网	ChinaNews
中日	China-Japan
中日韩统一表意文字	Unihan
中暑	sunstroke
中暑	heatstroke
中朝	Sino-Korean
中期	middle
中期	medium-term
中村	Nakamura
中杓鹬	whimbrel
中板	moderato
中校	commander
中枪	shot
中枢	center
中枢	backbone
中枢	hub
中欧	China-Europe
中段	mid-
中毒	poisoning
中毒性	poisonous
中毒性	toxic
中气层	mesosphere
中气层顶	mesopause
中法	China-France
中法	Sino-French
中波	Chinese-Polish
中流	midstream
中流砥柱	mainstay
中流砥柱	cornerstone
中游	midstream
中澳	China-Australia
中生代	Mesozoic
中产	bourgeois
中程	medium-range
中空	hollow
中立	neutral
中立性	impartiality
中立性	neutrality
中立派	centrist
中等	medium
中等技术学校	polytechnic
中篇小说	novella
中继器	repeater
中继资料	metadata
中美	China-USA
中声	medial
中肯	pertinent
中肯	apropos
中胚层	mesoderm
中兴	resurgence
中兴	recovery
中兴	restoration
中英	Sino-British
中英	Chinese-English
中华	China
中华田园犬	mongrel
中华龙鸟	Sinosauropteryx
中叶	mid-
中号	medium-sized
中西	Chinese-Western
中西部	midwest
中计	cheated
中试	pilot-scale
中轴	core
中辍	interruption
中辍	suspension
中转	transfer
中转	correspondence
中转站	hub
中辣	hot
中途	midway
中远集团	COSCO
中医学	TCM
中野	Nakano
中量级	middleweight
中锋	midfielder
中锋	center
中间	between
中间	intermediate
中间	mid
中间	middle
中间人	intermediary
中间人	mediator
中间件	middleware
中间层	mesosphere
中间神经元	interneuron
中隔	septum
中青年	middle-aged
中非	China-Africa
中饭	lunch
中点	midpoint
丰	luxuriant
丰	buxom
丰	appearance
丰	charm
丰姿	charm
丱	young
丱	underage
串	string
串	bunch
串	skewer
串号	IMEI
串行	series
串行	serial
串音	crosstalk
丳	skewer
丸	ball
丸	pellet
丸	pill
丸子	pills
丸子	balls
丸子	meatballs
丸山	Maruyama
丹	red
丹	pellet
丹	powder
丹	cinnabar
丹宁	denim
丹宁	tannin
丹尼	Danny
丹尼斯	Dennis
丹尼尔	Daniel
丹心	loyalty
丹毒	erysipelas
丹沙	cinnabar
丹砂	cinnabar
丹青	painting
丹魄	amber
丹麦	Denmark
主	owner
主	master
主	host
主	God
主	Lord
主	main
主人	master
主人	host
主人	owner
主人公	hero
主人翁	master
主任	director
主任	head
主使	mastermind
主使	instigator
主力舰	battleship
主动	spontaneous
主动	active
主动	drive
主动脉	aorta
主和派	doves
主妇	housewife
主妇	hostess
主子	Master
主子	operator
主宰	master
主宰者	ruler
主导	leading
主导	dominant
主导	prevailing
主导性	leadership
主导权	leadership
主席	chairperson
主席	premier
主席	chairman
主席团	presidium
主席台	rostrum
主席台	platform
主干	trunk
