%	percent
特性	characteristic
特惠	favorable
特惠	discount
特惠	preferential
特意	specially
特意	intentionally
特技	stunt
特技演员	stuntman
特技跳伞	skydiving
特拉法尔加	Trafalgar
特指问句	wh-question
特提斯海	Tethys
特敏福	oseltamivir
特敏福	Tamiflu
特斯拉	Tesla
特有	specific
特有	characteristic
特有	distinctive
特权	prerogative
特权	privilege
特权	privileged
特此	hereby
特殊	special
特殊	particular
特殊	unusual
特殊	extraordinary
特为	specially
特产	specialty
特异	excellent
特异	distinctive
特异	peculiar
特异	unique
特异性	specific
特异性	specificity
特异性	idiosyncrasy
特发性	idiopathic
特种兵	commando
特种警察	SWAT
特立尼达	Trinidad
特约记者	stringer
特色	characteristic
特艺彩色	Technicolor
特卫强	Tyvek
特许	license
特许	licensed
特许	concession
特许	concessionary
特许权	patent
特许权	franchise
特许权	concession
特许状	charter
特许经营	franchising
特警	SWAT
特卖	sale
特卖会	sale
特质	characteristic
特赦	amnesty
特辑	album
特里普拉	Tripura
特里尔	Trier
特里萨	Teresa
特里萨	Theresa
特雷沃	Trevor
特雷莎	Teresa
特雷莎	Theresa
特点	characteristic
特点	trait
特点	feature
牵引力	traction
牵引车	tractor
牵强	far-fetched
牵强	implausible
牵心	concerned
牵扯不清	unclear
牵扯不清	ambiguous
牵涉	implicated
牵牛	Altair
牵牛星	Altair
牵连	implicated
犀	rhinoceros
犀	sharp
犀利	sharp
犀利	incisive
犀利	penetrating
犀牛	rhinoceros
犀鸟	hornbill
犁	plow
犁沟	furrow
犁铧	plowshare
犁头	plowshare
犁头	colter
犁头	plow
犄	ox-horns
犄角	horn
犄角旮旯	corner
犄角旮旯	nook
犉	ox
犍	bullock
犍牛	bullock
犎	zebu
犎牛	bison
犒赏	reward
荦	clear
荦	eminent
犗	bullock
犛	yak
犟	obstinate
犟	tenacious
犟	unbending
犟	pig-headed
犟劲	obstinacy
犟劲	tenacity
犊	calf
犊子	calf
牺	sacrifice
犬	dog
犬儒	cynic
犬儒主义	cynicism
犯	criminal
犯	crime
犯	recurrence
犯人	convict
犯人	prisoner
犯人	criminal
犯得上	worthwhile
犯得着	worthwhile
犯毒	narcotic
犯浑	confused
犯浑	befuddled
犯罪	crime
犯罪	offense
犯罪学	criminology
犯罪者	criminal
犯罪者	perpetrator
犯贫	garrulous
犰	armadillo
犰狳	armadillo
犴	jail
状	accusation
状	suit
状	state
状	condition
状	strong
状	great
状	-shaped
状态	state
状态	mode
状态	situation
状况	condition
状况	state
状况	situation
状声词	onomatopoeia
狂	mad
狂	wild
狂	violent
狂乱	hysterical
狂人	madman
狂傲	domineering
狂傲	haughty
狂喜	ecstasy
狂喜	rapt
狂妄	egotistical
狂妄	arrogant
狂妄	brassy
狂怒	furious
狂想	fantasy
狂想	illusion
狂想曲	rhapsody
狂战士	berserker
狂放	wild
狂放	unrestrained
狂暴	frantic
狂暴	berserk
狂暴者	berserker
狂欢	party
狂欢	carousal
狂欢	hilarity
狂欢	merriment
狂欢	whoopee
狂欢节	carnival
狂潮	tide
狂潮	craze
狂潮	rage
狂潮	spree
狂热	zealotry
狂热	fanatical
狂热	feverish
狂犬病	rabies
狂言	ravings
狂言	kyōgen
狂躁	rash
狂躁	impetuous
狂躁	irritable
狂风	gale
狂风	squall
狂飙	hurricane
狄奥多	Theodor
狄更斯	Dickens
狆	Pekingese
狎昵	intimate
狎昵	familiar
狐	fox
狐步舞	fox-trot
狐狸	fox
狐狸座	Vulpecula
狐狸精	fox-spirit
狐狸精	vixen
狐狸精	witch
狐狸精	enchantress
狐猴	lemur
狐獴	meerkat
狐疑	suspicious
狐臭	bromhidrosis
狒狒	baboon
狓	ferocious
狗	dog
狗交媾般	doggy-style
狗仔	paparazzi
狗仔队	paparazzi
狗吠	bark
狗咬狗	dog-eat-dog
狗咬狗	dogfight
狗屁	bullshit
狗屁	nonsense
狗屁不通	incoherent
狗屁不通	nonsensical
狗屋	kennel
狗屎	bullshit
狗崽子	puppy
狗日	contemptible
狗熊	coward
狗獾	badger
狗玩儿的	beast
狗窝	doghouse
狗窝	kennel
狗腿	lackey
狗腿	henchman
狗腿子	henchman
狗胆包天	foolhardy
狗血	melodramatic
狗血	contrived
狗贼	brigand
狗贼	swindler
狗杂碎	scumbag
狘	jump
狙	macaque
狙击手	sniper
狙击手	marksman
狠	ruthless
狠	fierce
狠	ferocious
狠	determined
狠心	callous
狠心	heartless
狠毒	vicious
狠毒	malicious
狠毒	savage
狠狠	resolutely
狠狠	firmly
狠狠	ferociously
狠狠	ruthlessly
狡	crafty
狡	cunning
狡	sly
狡猾	crafty
狡猾	cunning
狡猾	sly
狡诈	craft
狡诈	cunning
狡诈	deceitful
狡黠	crafty
狡黠	astute
狨	marmoset
狩猎	hunting
狳	armadillo
狷	impetuous
狷	rash
狷	upright
狭	narrow
狭	narrow-minded
狭小	narrow
狭窄	narrow
狭谷	glen
狭路	gorge
狭隘	narrow
狭隘	tight
狼	wolf
狼人	werewolf
狼仆	henchman
狼狗	wolfdog
狼狈	scoundrel!
狈	distressed
狈	wretched
猊	lion
猋	whirlwind
猓	monkey
猖	ferocious
猖披	dishevelled
猖披	wild
猖披	unrestrained
猖狂	savage
猖狂	furious
猖猖狂狂	wild
猖猖狂狂	hell-for-leather
狰	hideous
狰	fierce-looking
狰狞	malevolent
狰狞	fierce
狰狞	sinister
猛	ferocious
猛	fierce
猛	violent
猛	brave
猛	suddenly
猛	abrupt
猛	awesome
猛丁	suddenly
猛不防	suddenly
猛不防	unexpectedly
猛乍	suddenly
猛乍	unexpectedly
猛力	violently
猛可	suddenly
猛地	suddenly
猛打	wham!
猛料	awesome
猛烈	fierce
猛烈	violent
猛然	suddenly
猛然	abruptly
猛犸	mammoth
猜拳	Morra
猜疑	suspicious
猜疑	misgivings
猜谜儿	guess
猝	abrupt
猝	sudden
猝	unexpected
猝然	suddenly
猝然	abruptly
猝发	abrupt
猝发	suddenly
猞猁	lynx
猢	monkey
猢狲	macaque
猥	humble
猥	rustic
猥	plentiful
猥獕	vulgar
猥獕	despicable
猥獕	abject
猥琐	wretched
猥琐	vulgar
猥亵	obscene
猥亵	indecent
猥亵性暴露	flashing
猩	ape
猩猩	orangutan
猩红	scarlet
猩红色	scarlet
猭	ape
猱	macaque
猲	frightened
猲	terrified
猴	monkey
猴儿	monkey
猴儿精	shrewd
猴儿精	clever
猴子	monkey
猴急	impatient
猴急	anxious
猴急	fretful
猴急	agitated
犹	like
犹	still
犹	yet
犹他	Utah
犹他州	Utah
犹大	Judas
犹大	Judah
犹太	Jew
犹太	Jewish
犹太	Judea
犹太人	Jew
犹太复国主义	Zionism
犹太教	Judaism
犹太教堂	synagogue
犹太会堂	synagogue
犹女	niece
犹子	nephew
犹热	overheating
犹热	popular
犹自	still
犹自	yet
犹豫不决	hesitancy
犹豫不决	indecision
犹达	Jude
犹达斯	Judas
猸子	mongoose
猾	sly
猿	ape
猿人	apeman
獀	dog
犸	mammoth
獃	foolish
狱	prison
狱卒	jailer
狱吏	jailer
狮	lion
狮子	Leo
狮子	lion
狮子座	Leo
狮子狗	Pekingese
狮子狗	Pekinese
狮身人面像	sphinx
狮头石竹	grenadine
狮头石竹	carnation
獉	jungle
奖	prize
奖	award
奖	encouragement
奖励	reward
奖品	award
奖品	prize
奖学金	scholarship
奖牌	medal
奖章	medal
奖赏	reward
奖赏	prize
奖赏	award
奖酬	incentive
奖酬	reward
奖金	premium
奖金	bonus
奖项	award
奖项	prize
獐	roebuck
獒	mastiff
獒犬	mastiff
獗	unruly
獗	rude
獚	spaniel
獜	firefly
獝	devil
獠	fierce
獠	hunt
獢	dog
狷	nimble
狷	impetuous
狷	rash
独	alone
独	independent
独	single
独	sole
独	only
独一	only
独一	unique
独来独往	unsociable
独来独往	maverick
独个	alone
独出一时	incomparable
独到	original
独创	innovation
独创性	innovative
独创性	ingenious
独创性	originality
独创性	ingenuity
独唱	solo
独夫	dictator
独奏	solo
独家	exclusive
独居石	monazite
独属	special
独断	arbitrary
独断	dictatorial
独有	specific
独木舟	dugout
独木舟	canoe
独木舟	kayak
独栋	detached
独步	prominent
独步	unrivalled
独步	outstanding
独特	unique
独特	distinct
独独	alone
独生	only
独白	soliloquy
独立	independent
独立	independence
独立钻石	solitaire
独自	alone
独行	solitary
独行侠	loner
独行侠	bachelor
独裁	dictatorship
独裁者	dictator
独裁者	autocrat
独角戏	monodrama
独角兽	unicorn
独角鲸	narwhal
独语	soliloquy
独资	wholly-owned
独身	unmarried
独身	single
独轮车	wheelbarrow
独轮车	unicycle
独霸	domination
狯	crafty
狯	cunning
狞	fierce-looking
获利	profit
获胜	victorious
获胜者	victor
获得性	acquired
获得者	recipient
获暴利者	profiteer
获益者	beneficiary
获释	freed
獴	mongoose
獴科	Herpestidae
猎	hunting
猎人	hunter
猎户座	Orion
猎户座流星雨	Orionids
猎手	hunter
猎捕	hunting
猎枪	shotgun
猎潜	anti-submarine
猎物	prey
猎犬	hound
猎豹	cheetah
猎头	headhunting
猎头	headhunter
猎头	headhunting
猎头人	head-hunter
猎头人	headhunter
猎头人	recruiter
猎鹰	falcon
犷	rough
犷	uncouth
犷	boorish
兽	beast
兽	animal
兽	beastly
兽	bestial
兽力车	carriage
兽奸	bestiality
兽性	brutal
兽皮	hide
兽脚类恐龙	theropod
兽行	bestiality
兽医	veterinarian
兽医	vet
兽类	animals
獭	otter
献金	contribution
猕	macaque
猕猴	macaque
獾	badger
玄	black
玄	mysterious
玄乎	unreliable
玄乎	incredible
玄奥	abstruse
玄妙	mysterious
玄妙	profound
玄妙	abstruse
玄孙	great-great-grandson
玄武岩	basalt
玄武岩	lava
玄武质熔岩	basalt
玄秘	mystery
玄秘	mysterious
玄秘	occult
玄米茶	genmaicha
玄虚	mystery
玄虚	unfathomable
玄远	profound
玄关	porch
玄关	vestibule
玆	now
玆	here
玆	this
玆	time
玆	year
率	rate
率	frequency
率	rash
率	hasty
率	frank
率	straightforward
率	generally
率	usually
率然	hastily
率然	rashly
率然	suddenly
率直	frank
率直	straightforward
率直	blunt
率真	candid
玈	black
玉	jade
玉夫座	Sculptor
玉川	Tamagawa
玉普西隆	upsilon
玉札	nephrite
玉泉	nephrite
玉泉营	Yuquanying
玉洁冰清	irreproachable
玉洁冰清	incorruptible
玉米	corn
玉米	maize
玉米片	cornflakes
玉米粉	cornflour
玉米糕	polenta
玉米花	popcorn
玉米赤霉烯酮	zearalenone
玉米面	cornmeal
玉红省	rubicene
玉茎	penis
玉兰花	magnolia
玉蜀黍	corn
玉门	vulva
玉露	gyokuro
玉髓	chalcedony
玉髓	agate
王	grand
王	great
王不留行	cowherb
王位	kingship
王侯	aristocracy
王侯公卿	aristocracy
王八	tortoise
王八	cuckold
王八	pimp
王八羔子	bastard
王八蛋	bastard
王公	aristocrat
王冠	crown
王后	queen
王国	kingdom
王国	realm
王妃	princess
王子	prince
王家	princely
王座	throne
王朝	dynasty
王权	royalty
王法	criterion
王爷	prince
王爷	marquis
王爷	nobleman
王老五	bachelor
王老吉	Wanglaoji
王道	statecraft
玍	naughty
玎	jingling
玎	tinkling
玎玲	ding-a-ling
玓	pearly
玖	nine
玢	porphyrites
玩	toy
玩世不恭	frivolous
玩人丧德	wicked
玩伴	playmate
玩偶	doll
玩儿完	finished
玩具	plaything
玩具	toy
玩家	player
玩家	enthusiast
玩忽职守	malpractice
玩意	toy
玩意	plaything
玩意	thing
玩意	act
玩意	trick
玩笑	joke
玩笑	jest
玩者	player
玩话	joking
玩阴的	crafty
玩阴的	scheming
玫瑰念珠	rosary
玫瑰花	rose
玫瑰茄	roselle
玭	pearl
玲	ting-a-ling
玲玲	tinkling
玲珑	exquisite
玲珑	clever
玲珑	nimble
玳	turtle
玳瑁	tortoiseshell
玷	blemish
玷	disgrace
玹	jade-colored
玻	glass
玻利尼西亚	Polynesia
玻利维亚	Bolivia
玻尿酸	hyaluronan
玻璃	glass
玻璃化	vitrification
玻璃心	butthurt
玻璃纸	cellophane
玻璃纤维	fiberglass
玻璃钢	fiberglass
玻色子	boson
玻里尼西亚	Polynesia
玼	clear
珀	amber
珂罗版	collotype
珈	gamma
珈	jewelry
珊	coral
珊卓	Sandra
珊瑚	coral
珍	treasure
珍	rare
珍	valuable
珍品	curio
珍奇	rare
珍奇	strange
珍珠	pearl
珍珠岩	perlite
珍珠母	mother-of-pearl
珍异	rare
珍稀	rare
珍羞	dainties
珍闻	oddity
珍藏	collection
珍贵	precious
珍重	precious
珍馐	delicacy
珍馐	dainties
珞	neck-ornament
珠	bead
珠	pearl
珠子	pearl
珠子	bead
珠宝	pearls
珠宝	jewels
珠母	mother-of-pearl
珠玉	jewels
珠玉	genius
珧	mother-of-pearl
班	team
班	class
班	squad
班	ranking
班上	class
班什	Binche
班克斯	Banks
班克斯	Banksy
班卓琴	banjo
班图斯坦	Bantustan
班房	jail
班期	schedule
班机	airliner
班机	flight
班次	grade
班次	shift
班禅	Panchen
班纪德	pancetta
班级	class
班级	grade
班线	route
班雅明	Benjamin
佩林	Palin
珽	scepter
现	present
现	now
现	existing
现	current
现下	now
现世宝	good-for-nothing
现世宝	fool
现今	now
现今	nowadays
现今	modern
现代化	modernization
现代性	modernity
现代派	modernists
现任	incumbent
现做	freshly-made
现在	now
现在	modern
现在	current
现在	nowadays
现存	extant
现存	existent
现实	reality
现实	actuality
现实	real
现实	actual
现实	realistic
现实主义	realism
现成	ready-made
现时	current
现款	cash
现行	current
现象	appearance
现象	phenomenon
现象学	phenomenology
现货	actuals
现金	cash
现钱	cash
琁	star
球	ball
球	sphere
球	globe
球	match
球友	enthusiast
球场	stadium
球场	court
球场	pitch
球场	field
球场会馆	clubhouse
球孢子菌病	Coccidioidomycosis
球季	season
球座	tee
球弹	ball
球形	spherical
球形	ball-shaped
球拍	racket
球杆	club
球杆	cue
球棍	club
球棍	bat
球台	table
球状	sphere
球状物	globe
球瓶	pin
球童	caddie
球竿	cue
球竿	club
球竿	stick
球粒陨石	chondrite
球网	net
球腔菌	Mycosphaerella
球菌	coccus
球蛋白	globulin
球虫	coccidia
球赛	ballgame
球迷	fan
球道	fairway
球道	lane
球门	goalmouth
球面	sphere
球面度	steradian
球馆	arena
球体	spheroid
理	texture
理	grain
理	reason
理	logic
理	truth
理	science
理事会	council
理儿	reason
理则	principle
理则	logic
理则学	logic
理学	science
理学硕士	M.Sc.
理工男	geek
理工男	techie
理念	idea
理念	concept
理念	philosophy
理念	theory
理性	reason
理性	rationality
理性	rational
理性主义	rationalism
理性认识	cognition
理想	ideal
理想	perfect
理想主义	idealism
理想国	utopia
理应	should
理据	grounds
理据	justification
理据	motivation
理智	reason
理智	intellect
理智	rationality
理智	rational
理查	Richard
理查德	Richard
理查森	Richardson
理由	reason
理由	grounds
理由	justification
理当	should
理当	ought
理疗	physiotherapy
理疗师	physiotherapist
理解	comprehension
理解	understanding
理解力	understanding
理论	theory
理论家	theorist
理论家	theoretician
理财	finance
理发	hairdressing
理发员	barber
理发师	barber
理发店	hairdresser's
理发厅	hairdresser's
琉特琴	lute
琉球	Ryūkyū
琉璃苣	borage
琛	gem
琥	amber
琥珀	amber
琦	curio
琰	gem
琲	necklace
琳	gem
琴弦	string
琴斯托霍瓦	Częstochowa
琴酒	gin
琴锤	mallet
琴锤	drumstick
琵琶鱼	anglerfish
琵鹭	spoonbill
珐琅	enamel
玮	precious
玮	rare
瑔	jade
瑔	shell
瑕	blemish
瑕玷	blemish
瑕玷	flaw
瑕疵	blemish
瑕疵	flaw
瑕疵	defect
瑙	agate
瑚	coral
瑛	lustrous
瑜	excellence
瑜伽	yoga
瑜珈	yoga
瑜迦	yoga
瑞	lucky
瑞	auspicious
瑞	propitious
瑞	rayl
瑞典	Sweden
瑞典人	Swede
瑞典语	Swedish
瑞士	Switzerland
瑞士人	Swiss
瑞尔	riel
瑟瑟	trembling
瑟瑟	rustling
琐	fragmentary
琐	trifling
琐事	trifle
琐碎	trifling
琐碎	trivial
琐碎	tedious
琐碎	inconsequential
琐细	trivial
琐罗亚斯德教	Zoroastrianism
琐罗亚斯特	Zoroaster
瑶	jade
瑶	mother-of-pearl
瑶	nacre
瑶	precious
瑶之圃	paradise
玛	agate
玛	cornelian
玛俐欧	Mario
玛利亚	Mary
玛卡	maca
玛奇朵	macchiato
玛尼	Mani
玛德琳	Madeleine
玛拉基亚	Malachi
玛拿西	Manasseh
玛格丽特	Margaret
玛格丽特	margarita
玛瑙	cornelian
玛瑙	agate
玛瑙贝	cowrie
玛窦	Matthew
玛芬	muffin
玛莎拉蒂	Maserati
玛迪达	Matilda
玛雅	Maya
玛丽	Mali
玛丽亚	Maria
玛丽娅	Maria
瑰	extraordinary
瑰伟	ornate
瑰伟	magnificent
瑰奇	magnificent
瑰奇	precious
瑰宝	gem
瑰宝	gem
瑰宝	treasure
瑰玮	ornate
瑰玮	magnificent
瑰异	marvelous
瑰异	magnificent
瑰丽	elegant
瑰丽	magnificent
瑾	brilliancy
瑿	jet
璀璨	bright
璀璨	resplendent
璀璨夺目	dazzling
璃	glass
璅	fragmentary
璅	trifling
璊	rouge
璨	gem
璨美	resplendent
珰	earring
珰	eunuch
环	ring
环	hoop
环	loop
环	link
环保主义	environmentalism
环保主义者	environmentalist
环保型	environmental
环化	cyclization
环境	environment
环境	circumstances
环境	surroundings
环境	ambient
环境行动主义	environmentalism
环岛	roundabout
环带	clitellum
环形	ring-shaped
环形公路	beltway
环形山	crater
环形路	circuit
环烷烃	cycloalkane
环状	annular
环状	toroidal
环状	loop-shaped
环状	ring-like
环球	worldwide
环球化	globalization
环环相扣	interlocked
环礁	atoll
环节	segment
环节	connection
环节	link
环节	sector
环节动物	annelid
环卫	sanitation
环路	loop
环面	annulus
环面	torus
璱	bright
玺印	seal
瓀	opaque
瓅	brilliance
琼	jasper
琼	beautiful
琼	exquisite
琼斯	Jones
琼斯顿	Johnston
琼筵	banquet
琼脂	agar
璎	necklace
瓖	ornaments
瓜	melon
瓜	gourd
瓜	squash
瓜地马拉	Guatemala
瓜娃子	fool
瓜德罗普	Guadeloupe
瓜拿纳	guarana
瓜果	fruit
瓜葛	intertwined
瓜葛	interconnected
瓜葛	association
瓜达拉哈拉	Guadalajara
瓠	gourd
瓢	dipper
瓢	ladle
瓢泼	pouring
瓢泼大雨	downpour
瓢虫	ladybug
瓢虫	ladybird
瓣	petal
瓣	segment
瓣	clove
瓣	piece
瓣	section
瓣	fragment
瓣	valve
瓣	lamella
瓣胃	omasum
瓣膜	valve
瓣鳃纲	Lamellibranchia
瓤	pulp
瓤	bad
瓤	weak
瓦亮	shiny
瓦利	Váli
瓦匠	bricklayer
瓦匠	tiler
瓦哈比教派	Wahhabism
瓦器	pottery
瓦工	tiling
瓦工	bricklaying
瓦工	plastering
瓦德瑟	Vadsø
瓦德西	Waldersee
瓦斯	gas
瓦楞	corrugated
瓦尔基里	valkyrie
瓦尔德	Vardø
瓦尔特	Walter
瓦尔纳	Varna
瓦尔达克	Wardak
瓦尔达克省	Wardak
瓦片	tile
瓦特	watt
瓦当	eaves-tile
瓦砾	rubble
瓦砾	debris
瓦砾堆	debris
瓦萨比	wasabi
瓦西里	Vasily
瓦西里耶维奇	Vasilievich
瓦里斯	Wallis
瓧	deciwatt
瓩	kilowatt
瓬	potter
瓬	ceramicist
瓮	urn
瓰	deciwatt
瓱	milliwatt
瓶	bottle
瓶	vase
瓶	pitcher
瓶塞钻	corkscrew
瓶子	bottle
瓶盂	jar
瓶盂	flask
瓶盂	vase
瓶盂	bottle
瓶胚	preform
瓶装	bottled
瓶领	bottleneck
瓶颈	bottleneck
瓷	chinaware
瓷	porcelain
瓷	china
瓷器	chinaware
瓷器	porcelain
瓷实	firm
瓷实	robust
瓸	hectowatt
瓼	centiwatt
甄别	screening
甄别考试	screening
甑	cauldron
甒	vase
甒	jar
甘	sweet
甘	willing
甘味	sweetness
甘味剂	sweetener
甘味料	sweetener
甘地	Gandhi
甘于	accepting
甘比亚	Gambia
甘油	glycerine
甘油	glycerol
甘油三脂	triglyceride
甘油三酯	triglyceride
甘甜	sweet
甘纳许	ganache
甘菊	chamomile
甘蓝	cabbage
甘蓝菜	cabbage
甘迺迪	Kennedy
甘愿	willingly
甙	glucoside
甚	what
甚	very
甚	extremely
甚	any
甚且	even
甚巨	considerable
甚巨	substantial
甚微	scant
甚微	minimal
甚感诧异	amazed
甚感诧异	astonished
甚或	even
甚浓	strong
甚浓	thick
甚为	very
甚为	extremely
甚而	even
甚至	even
甚至于	even
甚钜	considerable
甚钜	substantial
什么事	what?
什么事	which?
什么人	who?
什么时候	when?
甜	sweet
甜味	sweetness
甜味剂	sweetener
甜品	dessert
甜得发腻	lovey-dovey
甜得发腻	cloying
甜得发腻	sugary
甜心	sweetheart
甜瓜	muskmelon
甜甜圈	doughnut
甜美	sweet
甜美	pleasant
甜美	happy
甜菜	beet
甜菜	beetroot
甜蜜	sweet
甜蜜	happy
甜头	benefit
甜食	dessert
甜食	sweet
甜点	dessert
生	life
生	raw
生	uncooked
生	student
生人	stranger
生僻	unfamiliar
生动	vivid
生动	lively
生化	biochemistry
生化学	biochemistry
生厌	tedious
生厌	cloying
生厌	boring
生厌	irritating
生命	life
生命	creature
生命力	vitality
生命吠陀	Ayurveda
生命多样性	biodiversity
生命线	lifeline
生境	habitat
生奶油	cream
生存环境	habitat
生平	life
生怕	afraid
生意	vitality
生意	business
生态	ecology
生态友好型	eco-friendly
生态圈	ecosphere
生态孤岛	insularization
生态学	ecology
生态学家	ecologist
生态旅游	ecotourism
生态环境游	ecotourism
生态系统	ecosystem
生成	generated
生成	produced
生手	novice
生技	biotechnology
生技医药	biopharmaceutical
生日	birthday
生有权	birthright
生机	vitality
生机盎然	exuberant
生殖力	fertility
生殖器	genitals
生殖腺	gonad
生气	angry
生气	vitality
生气	liveliness
生活	life
生活	activity
生活	livelihood
生活作风	behavior
生活作风	conduct
生活方式	lifestyle
生活费	alimony
生涯	career
生涯	life
生涩	unripe
生涩	tart
生物	organism
生物	biological
生物传感器	biosensor
生物力学	biomechanics
生物化学	biochemistry
生物化学家	biochemist
生物反应器	bioreactor
生物圈	biosphere
生物圈	ecosphere
生物多元化	biodiversity
生物多样性	biodiversity
生物学	biology
生物学家	biologist
生物专一性	biospecificity
生物工程	bioengineering
生物工程学	biotechnology
生物性	biological
生物恐怖主义	bioterrorism
生物技术	biotechnology
生物晶片	biochip
生物材料	bio-materials
生物柴油	biodiesel
生物气体	bio-gas
生物活化性	bioactivity
生物测定	bioassay
生物燃料	biofuel
生物界	biosphere
生物科技	biotechnology
生物群	biota
生物能	bio-energy
生物质	biomass
生物质能	biomass
生物量	biomass
生物降解	biodegradation
生物体	organism
生物高分子	biopolymers
生物碱	alkaloid
生猛	violent
生猛	brave
生猛	fresh
生理	physiology
生理学	physiology
生理学家	physiologist
生理性	physiological
生理盐水	saline
生产企业	manufacturer
生产力	productivity
生产率	productivity
生产者	producer
生产者	manufacturer
生产者	autotroph
生产自救	self-help
生番	barbarian
生疏	unfamiliar
生疏	strange
生皮	pelt
生石灰	quicklime
生石膏	plaster
生硬	stiff
生硬	harsh
生粉	cornflour
生育	fertility
生育能力	fertility
生苔	mossy
生菜	lettuce
生菜	greens
生计	livelihood
生辰	birthday
生还者	survivor
生锈	oxidization
生长素	auxin
生灵	creature
生鱼片	sashimi
生面团	dough
甡	multitude
甡	crowd
产	product
产	resource
产	estate
产	property
产前	prenatal
产前	antenatal
产品	goods
产品	merchandise
产品	product
产婆	midwife
产后	postnatal
产期	lying-in
产业	industry
产业	estate
产业	property
产业	industrial
产业化	industrialization
产物	product
产物	result
产生	appearance
产生	emergence
产生	generation
产生	production
产生	yield
产科	obstetrics
产制	production
产制	manufacture
产褥期	puerperium
产量	output
产量多	fruitful
甥	nephew
甥女	niece
用	usefulness
用	hence
用	therefore
用人	servant
用光	spent
用光	exhausted
用光	depleted
用具	appliance
用具	utensil
用具	gear
用具	equipment
用功	diligent
用功	industrious
用品	products
用品	goods
用场	use
用场	application
用字	diction
用完	finished
用度	expense
用得上	needed
用得着	useable
用心	motive
用心	intention
用心	careful
用意	intention
用意	purpose
用户	user
用户	consumer
用户	subscriber
用户	customer
用户到网络接口	UNI
用户到网络的接口	UNI
用户名	username
用户定义	user-defined
用户端设备	CPE
用料	ingredients
用料	material
用法	usage
用处	usefulness
用词	usage
用词	wording
用词	phrasing
用语	wording
用语	phraseology
用语	term
用途	use
用途	application
用量	usage
用量	consumption
用量	dose
用项	expenditures
甩尾	drifting
甫	barely
甫	just
甬道	corridor
甬道	tunnel
田	field
田	farm
田七	pseudo-ginseng
田中	Tanaka
田园	fields
田园	countryside
田园	rural
田园	bucolic
田土	farmland
田地	field
田地	farmland
田地	cropland
田地	plight
田地	extent
田村	Tamura
田产	estate
田产	lands
田亩	field
田纳西	Tennessee
田纳西州	Tennessee
田舍	farmhouse
田野	field
田间	field
田间	farm
田间	village
田陌	fields
田鸡	frog
田鸫	fieldfare
田鼠	vole
由	from
由	reason
由	cause
由	to
由	by
由来	origin
由于	since
由于	because
由旬	yojana
由此	hereby
由衷	heartfelt
由衷	sincere
由衷	unfeigned
由头	pretext
由头	excuse
由头	justification
由头	reason
甲	first
甲	nail
甲亢	hyperthyroidism
甲型	alpha-
甲基安非他命	methamphetamine
甲基苯丙胺	methamphetamine
甲板	deck
甲壳	carapace
甲壳	crust
甲壳动物	crustacean
甲壳素	chitin
甲壳虫	beetle
甲壳虫类	coleoptera
甲壳类	crustacean
甲氧基	methoxy
甲氧西林	methicillin
甲氰菊酯	fenpropathrin
甲沟炎	paronychia
甲状	thyroid
甲状旁腺	parathyroid
甲状腺功能亢进	hyperthyroidism
甲状腺素	thyroxine
甲状腺肿	goiter
甲硝唑	metronidazole
甲硝唑	Flagyl
甲等	first-class
甲级	excellent
甲胄	armor
甲胺	methylamine
甲胺磷	methamidophos
甲苯	methylbenzene
甲虫	beetle
甲酚	cresol
甲醛	formaldehyde
甲铠	armor
甲鱼	turtle
甲鱼	terrapin
申根	Schengen
申诉	complaint
申诉	appeal
申请	application
申请人	applicant
申请书	application
申请书	petition
男	male
男中音	baritone
男人	men
男人婆	tomboy
男低音	bass
男修道院长	abbot
男儿	boy
男儿	son
男友	boyfriend
男同胞	man
男同胞	male
男基尼	mankini
男士	man
男士	gentleman
男女	male-female
男女同校	coeducation
男女老幼	everybody
男妓	pimp
男娃	boy
男娃	guy
男子气	manly
男子气	masculine
男子气概	masculinity
男子气概	manliness
男子汉	man
男子汉大丈夫	he-man
男孩	boy
男孩子	boy
男巫	wizard
男巫	warlock
男性主义	masculism
男性化	masculinization
男性厌恶	misandry
男性亲属	kinsman
男性贬抑	misandry
男朋友	boyfriend
男根	penis
男爵	baron
男生	schoolboy
男生	boy
男生	guy
男的	man
男神	Adonis
男票	boyfriend
男童	boy
男管家	butler
男管家	majordomo
男管家	housekeeper
男虫	swindler
男虫	conman
男风	buggery
男高音	tenor
甾酮	sterone
甾醇	sterol
畈	field
畈	farm
界	boundary
界	scope
界	extent
界	circles
界	group
界	kingdom
界内球	in
界别	kingdom
界址	boundary
界定	definition
界尺	straightedge
界标	landmark
界线	limits
界线	bounds
界限	boundary
界限	marginal
界面	interface
畏忌	restraint
畏忌	scruple
畏惧	foreboding
畏畏缩缩	cowering
畏畏缩缩	cringing
畔	edge
畔	side
畔	boundary
畔	bank
畔	shore
畔援	domineering
畔援	tyrannical
留堂	detention
留存	extant
留尼旺	Réunion
留尼汪	Réunion
留情	lenient
留置	indwelling
留声机	gramophone
留声机	phonograph
留兰香	spearmint
留言	message
留言本	guestbook
留饮	edema
留饮	dropsy
畚斗	dustpan
畚箕	dustpan
畛	border
畛	boundary
畛	field-path
畛域	boundary
畛域	scope
畜	livestock
畜力	animal-drawn
畜生	brute
畜生	bastard
